materials,Product 1,Product 2,Product 3,Product 4,Product 5,Product 6,Product 7,Product 8,Product 9,Product 10,Product 11,Product 12,Product 13,Product 14,Product 15,Product 16,Product 17,Product 18,Product 19,Product 20,Product 21,Product 22,Product 23,Product 24,Product 25,Product 26,Product 27,Product 28,Product 29,Product 30,Product 31,Product 32,Product 33,Product 34,Product 35,Product 36,Product 37,Product 38,Product 39,Product 40,Product 41,Product 42,Product 43,Product 44,Product 45,Product 46,Product 47,Product 48,Product 49,Product 50,Product 51,Product 52,Product 53,Product 54,Product 55,Product 56,Product 57,Product 58,Product 59,Product 60,Product 61,Product 62,Product 63,Product 64,Product 65,Product 66,Product 67,Product 68,Product 69,Product 70,Product 71,Product 72,Product 73,Product 74,Product 75,Product 76,Product 77,Product 78,Product 79,Product 80,Product 81,Product 82,Product 83,Product 84,Product 85,Product 86,Product 87,Product 88,Product 89,Product 90,Product 91,Product 92,Product 93,Product 94,Product 95,Product 96,Product 97,Product 98,Product 99,Product 100
1,0.0,25.57,0.0,0.0,0.0,0.0,50.66,27.97,47.69,26.48,41.29,0.0,48.72,35.57,0.0,0.0,0.0,0.0,50.78,0.0,0.0,0.0,35.69,0.0,0.0,0.0,38.45,0.0,0.0,33.2,0.0,29.9,0.0,0.0,64.48,0.0,52.9,0.0,0.0,0.0,0.0,0.0,32.27,45.57,50.99,43.34,0.0,0.0,0.0,0.0,27.68,42.11,0.0,0.0,51.44,49.32,0.0,0.0,33.86,30.92,0.0,61.42,0.0,0.0,43.88,42.19,0.0,0.0,44.47,0.0,39.06,27.42,39.6,0.0,0.0,0.0,0.0,0.0,0.0,45.88,0.0,0.0,0.0,0.0,73.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.19,51.67,0.0,0.0
2,0.0,0.0,0.0,0.0,46.12,41.95,0.0,0.0,27.5,0.0,0.0,36.98,0.0,0.0,0.0,44.12,46.94,0.0,42.74,0.0,0.0,0.0,61.24,0.0,33.86,48.11,0.0,0.0,0.0,0.0,45.49,0.0,0.0,54.82,0.0,28.89,0.0,0.0,0.0,43.03,0.0,0.0,0.0,0.0,31.42,0.0,28.16,0.0,0.0,0.0,16.08,0.0,0.0,27.5,0.0,0.0,45.68,0.0,0.0,0.0,46.46,22.91,0.0,44.84,33.64,0.0,0.0,55.26,33.02,39.03,41.39,0.0,0.0,0.0,0.0,19.16,45.2,0.0,0.0,0.0,32.61,0.0,0.0,65.43,23.4,37.54,42.57,40.33,0.0,0.0,21.11,48.43,0.0,0.0,0.0,0.0,0.0,0.0,17.03,0.0
3,0.0,38.74,0.0,0.0,0.0,0.0,0.0,0.0,18.97,0.0,39.48,0.0,51.95,40.4,0.0,0.0,48.69,0.0,36.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.56,0.0,0.0,0.0,36.68,0.0,0.0,0.0,50.39,0.0,37.48,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,36.14,0.0,34.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.14,0.0,0.0,0.0,0.0,50.93,0.0,0.0,44.48,0.0,0.0,0.0,0.0,0.0,40.66,0.0,0.0,40.51,0.0,0.0,0.0,0.0,0.0,27.25,0.0,43.0,49.53,0.0,0.0,34.3,0.0,0.0,0.0,0.0,31.71,0.0,22.51,0.0
4,0.0,47.14,0.0,0.0,0.0,22.35,0.0,51.1,0.0,0.0,39.64,0.0,0.0,67.34,52.36,0.0,52.86,0.0,57.31,47.56,0.0,0.0,51.51,0.0,0.0,0.0,15.17,0.0,0.0,0.0,0.0,56.84,0.0,43.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,46.27,0.0,0.0,45.37,33.42,0.0,0.0,0.0,0.0,0.0,44.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.51,0.0,39.35,30.33,0.0,0.0,47.87,0.0,27.67,0.0,0.0,0.0,38.46,38.54,0.0,50.77,27.7,0.0,0.0,0.0,42.15,0.0,24.86,0.0,0.0,73.87,0.0,17.88,0.0,0.0,46.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,49.59,0.0,47.05,0.0,40.88,40.93,62.19,0.0,0.0,0.0,23.22,57.6,71.71,45.5,46.45,0.0,0.0,32.72,32.28,0.0,0.0,0.0,0.0,0.0,0.0,45.05,0.0,32.47,0.0,44.31,0.0,29.5,0.0,23.66,0.0,49.15,0.0,46.93,31.07,0.0,42.22,0.0,0.0,0.0,0.0,0.0,18.46,0.0,0.0,0.0,0.0,31.14,0.0,37.37,0.0,0.0,0.0,57.27,0.0,27.56,0.0,22.13,22.46,0.0,0.0,45.88,0.0,59.45,0.0,20.53,0.0,0.0,0.0,23.36,0.0,0.0,43.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.35,27.33,0.0,0.0,0.0,0.0,0.0,0.0,37.55,0.0
6,0.0,0.0,0.0,46.47,0.0,0.0,35.86,0.0,0.0,68.32,39.5,26.19,0.0,43.06,0.0,0.0,36.32,0.0,0.0,0.0,0.0,42.2,0.0,0.0,0.0,29.64,0.0,48.7,0.0,0.0,48.48,0.0,49.78,0.0,0.0,0.0,0.0,0.0,55.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,0.0,0.0,44.73,28.36,68.25,0.0,0.0,0.0,36.26,34.88,0.0,0.0,28.63,46.98,0.0,0.0,0.0,46.42,36.87,0.0,0.0,40.32
7,0.0,0.0,0.0,23.41,0.0,35.6,0.0,32.72,0.0,40.06,0.0,0.0,0.0,30.47,0.0,0.0,0.0,61.79,0.0,0.0,46.23,0.0,0.0,35.2,0.0,0.0,27.21,0.0,0.0,0.0,21.06,78.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.17,0.0,0.0,36.34,0.0,29.1,0.0,0.0,0.0,22.79,0.0,0.0,60.92,0.0,0.0,43.99,0.0,0.0,0.0,19.83,0.0,26.62,0.0,44.88,48.82,0.0,66.27,0.0,0.0,0.0,44.4,0.0,26.35,0.0,0.0,30.7,0.0,0.0,0.0,0.0,0.0,82.07,0.0,0.0,0.0,44.73,0.0,31.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,42.09,0.0,24.15,38.79,49.98,27.44,0.0,0.0,36.25,0.0,0.0,0.0,0.0,0.0,0.0,22.61,0.0,0.0,0.0,0.0,0.0,23.55,0.0,40.23,28.53,0.0,40.8,58.39,0.0,0.0,0.0,0.0,0.0,22.86,0.0,0.0,35.96,38.7,0.0,0.0,0.0,66.9,0.0,0.0,50.32,44.79,0.0,36.94,0.0,0.0,66.34,0.0,0.0,0.0,0.0,34.35,0.0,0.0,0.0,0.0,0.0,0.0,20.62,0.0,0.0,0.0,0.0,0.0,21.78,0.0,0.0,0.0,81.4,34.82,30.07,52.59,38.49,47.51,0.0,0.0,0.0,0.0,19.33,29.92,0.0,0.0,0.0,25.98,0.0,0.0,0.0,0.0,53.38,50.31,38.86
9,0.0,0.0,44.8,49.48,66.49,0.0,0.0,0.0,0.0,25.89,50.69,0.0,45.39,0.0,59.86,0.0,0.0,44.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.17,0.0,0.0,40.65,0.0,28.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.95,54.1,0.0,29.19,0.0,0.0,0.0,28.01,0.0,0.0,37.92,0.0,0.0,0.0,71.25,0.0,0.0,0.0,0.0,28.71,40.75,0.0,30.8,0.0,0.0,29.28,0.0,27.93,0.0,50.08,45.55,0.0,31.36,0.0,0.0,0.0,51.15,63.68,0.0,0.0,0.0,46.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.01,0.0,0.0,21.42,0.0,0.0,55.61,0.0,0.0
10,0.0,0.0,43.12,0.0,39.35,0.0,0.0,0.0,27.07,75.79,45.85,0.0,57.61,44.32,46.13,0.0,39.34,35.71,0.0,0.0,0.0,27.26,0.0,28.92,0.0,30.47,37.32,42.22,0.0,0.0,0.0,0.0,47.14,0.0,46.65,37.99,0.0,44.99,0.0,26.71,42.2,0.0,86.21,48.15,0.0,0.0,82.62,0.0,0.0,0.0,58.71,0.0,0.0,0.0,37.17,0.0,27.27,0.0,0.0,0.0,0.0,35.56,0.0,0.0,0.0,0.0,48.55,53.59,0.0,0.0,0.0,0.0,0.0,31.82,19.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.71,0.0,0.0,64.93,0.0,0.0,0.0,0.0,24.84,0.0,32.98,53.2,46.83,0.0,34.16,41.84,49.82
